epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.32,0.94537,0.52872,0.88391,0.97092,0.99967,0.995,0.7811,1.08516,0.53374,0.93737,0.000660045,0.000660045,0.000660045
43,207.75,0.92445,0.51757,0.88386,0.9521,0.99221,0.99359,0.77073,1.04784,0.55061,0.93374,0.000649046,0.000649046,0.000649046
44,211.332,0.93635,0.51014,0.9083,0.95706,0.97498,0.995,0.79193,1.04081,0.52351,0.9232,0.000638047,0.000638047,0.000638047
45,214.827,0.93379,0.50609,0.90678,0.95001,0.97146,0.995,0.81792,1.08407,0.50167,0.9395,0.000627048,0.000627048,0.000627048
46,218.648,0.94118,0.48832,0.9029,0.97038,0.98693,0.995,0.81071,1.05026,0.46265,0.93338,0.000616049,0.000616049,0.000616049
47,224.028,0.89708,0.4874,0.88904,0.97289,0.98881,0.995,0.81358,0.98511,0.44811,0.91838,0.000605051,0.000605051,0.000605051
48,227.547,0.92925,0.50173,0.89551,0.98017,1,0.995,0.8164,0.98837,0.45052,0.91621,0.000594052,0.000594052,0.000594052
49,230.914,0.86631,0.47199,0.8894,0.98209,1,0.995,0.81842,1.07056,0.46847,0.93179,0.000583053,0.000583053,0.000583053
50,235.058,0.95539,0.52043,0.90166,0.97349,1,0.995,0.83344,0.97719,0.44926,0.91351,0.000572054,0.000572054,0.000572054
51,240.101,0.8836,0.51101,0.89872,0.98642,1,0.995,0.80537,0.9712,0.48139,0.91296,0.000561055,0.000561055,0.000561055
52,243.62,0.93581,0.51989,0.90661,0.96894,1,0.995,0.80786,1.00221,0.47446,0.9209,0.000550056,0.000550056,0.000550056
53,247.079,0.87782,0.50582,0.88816,0.9731,1,0.995,0.82264,1.02437,0.49205,0.92344,0.000539057,0.000539057,0.000539057
54,251.517,0.86077,0.47621,0.88434,0.97726,1,0.995,0.83103,0.96362,0.47129,0.91018,0.000528058,0.000528058,0.000528058
55,256.045,0.91306,0.48441,0.88446,0.97704,1,0.995,0.82411,0.98857,0.44762,0.91267,0.000517059,0.000517059,0.000517059
56,259.539,0.84922,0.47353,0.87012,0.97531,1,0.995,0.82353,1.04386,0.4492,0.92537,0.00050606,0.00050606,0.00050606
57,262.987,0.89939,0.48274,0.87549,0.97142,1,0.995,0.81524,1.07813,0.46671,0.92794,0.000495062,0.000495062,0.000495062
58,267.527,0.87647,0.46671,0.88632,0.96132,1,0.995,0.81045,1.04314,0.45276,0.91531,0.000484063,0.000484063,0.000484063
59,271.983,0.88905,0.45844,0.88249,0.98153,1,0.995,0.80948,1.01726,0.45543,0.91418,0.000473064,0.000473064,0.000473064
60,275.581,0.89305,0.47207,0.88295,0.97743,1,0.995,0.80648,1.05391,0.4592,0.92513,0.000462065,0.000462065,0.000462065
61,279.101,0.82982,0.48232,0.89168,0.97442,1,0.995,0.7885,1.10017,0.4647,0.94487,0.000451066,0.000451066,0.000451066
62,283.962,0.81768,0.44803,0.88061,0.98049,1,0.995,0.80422,1.06198,0.44332,0.92797,0.000440067,0.000440067,0.000440067
63,288.07,0.83745,0.44409,0.8731,0.97563,1,0.995,0.81703,1.03371,0.44102,0.91658,0.000429068,0.000429068,0.000429068
64,291.483,0.84296,0.48656,0.88083,0.98111,1,0.995,0.81194,1.04373,0.44063,0.91757,0.000418069,0.000418069,0.000418069
65,294.969,0.83044,0.44,0.87185,0.98378,1,0.995,0.82622,1.03999,0.42425,0.91637,0.00040707,0.00040707,0.00040707
66,299.57,0.81834,0.42523,0.8764,0.98332,1,0.995,0.82035,1.00257,0.4094,0.90658,0.000396071,0.000396071,0.000396071
67,303.817,0.78791,0.42741,0.8731,0.97463,0.99985,0.995,0.81803,1.01052,0.42515,0.91229,0.000385073,0.000385073,0.000385073
68,307.244,0.88436,0.44097,0.8801,0.98019,1,0.995,0.80405,1.01514,0.42424,0.91824,0.000374074,0.000374074,0.000374074
69,310.804,0.80764,0.42939,0.86606,0.97407,1,0.995,0.82164,1.00466,0.42559,0.91462,0.000363075,0.000363075,0.000363075
70,315.518,0.79777,0.41747,0.86568,0.97457,1,0.995,0.83913,1.00172,0.40605,0.91192,0.000352076,0.000352076,0.000352076
71,319.778,0.77429,0.41736,0.87237,0.97615,1,0.995,0.82793,1.00481,0.4177,0.91024,0.000341077,0.000341077,0.000341077
72,323.276,0.8101,0.41871,0.87552,0.97957,1,0.995,0.82451,1.00013,0.43073,0.9067,0.000330078,0.000330078,0.000330078
73,326.788,0.83731,0.42605,0.86214,0.97663,1,0.995,0.80861,1.0113,0.42782,0.90605,0.000319079,0.000319079,0.000319079
74,331.844,0.85079,0.44727,0.85381,0.9801,1,0.995,0.8163,1.0423,0.41678,0.91263,0.00030808,0.00030808,0.00030808
75,335.845,0.80106,0.42841,0.89198,0.98109,0.99572,0.995,0.81417,1.04532,0.4025,0.91618,0.000297081,0.000297081,0.000297081
76,339.419,0.85459,0.44137,0.88881,0.98255,0.98992,0.995,0.82255,1.05401,0.40555,0.91924,0.000286083,0.000286083,0.000286083
77,342.9,0.78048,0.41432,0.84925,0.9787,0.99297,0.995,0.81688,1.05946,0.41023,0.92196,0.000275084,0.000275084,0.000275084
78,348.07,0.79022,0.41064,0.86168,0.98229,0.99775,0.995,0.81827,1.06617,0.40138,0.92131,0.000264085,0.000264085,0.000264085
79,351.92,0.76038,0.40911,0.84787,0.98167,0.99755,0.995,0.80614,1.09296,0.40732,0.92689,0.000253086,0.000253086,0.000253086
80,355.444,0.79938,0.41814,0.87308,0.9832,0.99701,0.995,0.80776,1.09612,0.41586,0.9305,0.000242087,0.000242087,0.000242087
81,358.972,0.79375,0.40727,0.87753,0.98496,0.99752,0.995,0.81672,1.05812,0.40683,0.92286,0.000231088,0.000231088,0.000231088
82,364.56,0.77913,0.39703,0.8725,0.98651,0.99936,0.995,0.81856,1.01893,0.39534,0.91541,0.000220089,0.000220089,0.000220089
83,368.12,0.76789,0.39635,0.86634,0.9869,0.99822,0.995,0.81493,1.01863,0.39077,0.91661,0.00020909,0.00020909,0.00020909
84,371.649,0.79724,0.40212,0.86077,0.98696,0.99814,0.995,0.82711,1.03957,0.39607,0.91911,0.000198091,0.000198091,0.000198091
85,375.428,0.75794,0.39344,0.85131,0.98826,0.99642,0.995,0.81522,1.03943,0.40033,0.92046,0.000187092,0.000187092,0.000187092
86,380.753,0.75221,0.39373,0.85371,0.98824,0.99884,0.995,0.81295,1.01736,0.40199,0.91489,0.000176094,0.000176094,0.000176094
87,384.294,0.754,0.39151,0.85172,0.9952,1,0.995,0.81701,1.01421,0.40191,0.91106,0.000165095,0.000165095,0.000165095
88,387.764,0.77749,0.38952,0.86155,0.99471,1,0.995,0.82203,1.02066,0.40703,0.91169,0.000154096,0.000154096,0.000154096
89,391.739,0.76333,0.37734,0.86159,0.99502,1,0.995,0.81539,1.0327,0.41192,0.91477,0.000143097,0.000143097,0.000143097
90,396.935,0.80445,0.39655,0.86239,0.98847,0.99842,0.995,0.81393,1.03425,0.41593,0.9178,0.000132098,0.000132098,0.000132098
91,401.848,0.79244,0.37723,0.89125,0.98908,1,0.995,0.8137,1.02633,0.41085,0.91748,0.000121099,0.000121099,0.000121099
92,405.265,0.79701,0.37422,0.87738,0.98227,1,0.995,0.82351,1.01047,0.40873,0.91529,0.0001101,0.0001101,0.0001101
93,409.901,0.80393,0.38101,0.85793,0.98001,1,0.995,0.82687,0.99156,0.40964,0.91173,9.91012e-05,9.91012e-05,9.91012e-05
94,414.156,0.77717,0.37201,0.85512,0.98016,1,0.995,0.81968,0.98854,0.40435,0.91059,8.81023e-05,8.81023e-05,8.81023e-05
95,417.665,0.77001,0.37026,0.88082,0.98131,1,0.995,0.82313,0.9869,0.40506,0.91065,7.71034e-05,7.71034e-05,7.71034e-05
96,421.054,0.78147,0.37532,0.87291,0.99014,1,0.995,0.8225,0.98261,0.40856,0.90993,6.61045e-05,6.61045e-05,6.61045e-05
97,425.563,0.73926,0.36212,0.87455,0.99659,1,0.995,0.8244,0.98769,0.41255,0.9103,5.51056e-05,5.51056e-05,5.51056e-05
98,430.118,0.7563,0.36487,0.86853,0.99665,1,0.995,0.82074,0.98267,0.41149,0.90981,4.41067e-05,4.41067e-05,4.41067e-05
99,433.581,0.73787,0.35319,0.84566,0.98808,1,0.995,0.82555,0.97573,0.40796,0.90872,3.31078e-05,3.31078e-05,3.31078e-05
100,436.949,0.75797,0.3622,0.84971,0.98819,1,0.995,0.82555,0.97425,0.4074,0.90971,2.21089e-05,2.21089e-05,2.21089e-05
