epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,3493.93,0.24138,0.92708,1,0.10487,0.0002971,0.0002971,0.0002971
73,3540.65,0.28313,0.92708,1,0.10465,0.0002872,0.0002872,0.0002872
74,3588.37,0.29265,0.92708,1,0.11142,0.0002773,0.0002773,0.0002773
75,3635.67,0.31322,0.90104,1,0.10684,0.0002674,0.0002674,0.0002674
76,3683.53,0.27854,0.92708,1,0.10601,0.0002575,0.0002575,0.0002575
77,3732.4,0.21693,0.92708,1,0.10406,0.0002476,0.0002476,0.0002476
78,3780.37,0.26517,0.92708,1,0.1088,0.0002377,0.0002377,0.0002377
79,3827.86,0.25065,0.92708,1,0.10565,0.0002278,0.0002278,0.0002278
80,3875.31,0.25327,0.93229,1,0.10401,0.0002179,0.0002179,0.0002179
81,3922.86,0.2237,0.92708,1,0.10441,0.000208,0.000208,0.000208
82,3970.93,0.24748,0.92708,1,0.10645,0.0001981,0.0001981,0.0001981
83,4019.59,0.27322,0.92708,1,0.10776,0.0001882,0.0001882,0.0001882
84,4069.32,0.25715,0.92708,1,0.10976,0.0001783,0.0001783,0.0001783
85,4117.27,0.24112,0.92708,1,0.1064,0.0001684,0.0001684,0.0001684
86,4165.29,0.21969,0.92708,1,0.10674,0.0001585,0.0001585,0.0001585
87,4213.15,0.2409,0.92708,1,0.10419,0.0001486,0.0001486,0.0001486
88,4260.89,0.24332,0.92708,1,0.10494,0.0001387,0.0001387,0.0001387
89,4308.25,0.26118,0.9375,1,0.10611,0.0001288,0.0001288,0.0001288
90,4356.26,0.23023,0.92708,1,0.10871,0.0001189,0.0001189,0.0001189
91,4408.94,0.24494,0.91667,1,0.10635,0.000109,0.000109,0.000109
92,4457.53,0.23334,0.92708,1,0.10538,9.91e-05,9.91e-05,9.91e-05
93,4506.11,0.23816,0.92708,1,0.1056,8.92e-05,8.92e-05,8.92e-05
94,4553.82,0.22758,0.92708,1,0.10507,7.93e-05,7.93e-05,7.93e-05
95,4602.37,0.25918,0.91667,1,0.10508,6.94e-05,6.94e-05,6.94e-05
96,4651.5,0.26426,0.92708,1,0.10451,5.95e-05,5.95e-05,5.95e-05
97,4699.41,0.28111,0.92708,1,0.10504,4.96e-05,4.96e-05,4.96e-05
98,4747.09,0.27913,0.92708,1,0.10419,3.97e-05,3.97e-05,3.97e-05
99,4795.05,0.22765,0.92708,1,0.10423,2.98e-05,2.98e-05,2.98e-05
100,4842.66,0.24185,0.92708,1,0.10354,1.99e-05,1.99e-05,1.99e-05
