epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,234.916,1.0114,0.54837,0.94361,0.97473,0.97887,0.994,0.80023,1.13814,0.54963,0.9484,0.000660045,0.000660045,0.000660045
43,239.216,1.0487,0.51796,0.91997,0.96584,0.97807,0.995,0.79249,1.09277,0.49952,0.94355,0.000649046,0.000649046,0.000649046
44,243.506,1.01732,0.52572,0.93483,0.97936,0.98948,0.995,0.78415,1.06914,0.49759,0.93818,0.000638047,0.000638047,0.000638047
45,249.619,1.00655,0.52755,0.9254,0.96775,1,0.995,0.80658,1.13336,0.46966,0.96087,0.000627048,0.000627048,0.000627048
46,253.857,1.01445,0.51716,0.91756,0.96763,0.99972,0.995,0.78836,1.12754,0.50346,0.94944,0.000616049,0.000616049,0.000616049
47,258.11,0.98052,0.50648,0.91326,0.95979,0.98993,0.995,0.78002,1.06233,0.48557,0.93319,0.000605051,0.000605051,0.000605051
48,263.888,0.96614,0.47696,0.90495,0.98026,0.97904,0.99313,0.80146,1.04289,0.48758,0.92738,0.000594052,0.000594052,0.000594052
49,268.343,0.97698,0.49101,0.92073,0.97115,0.97842,0.99238,0.79825,1.05539,0.4812,0.92345,0.000583053,0.000583053,0.000583053
50,272.669,0.96048,0.48287,0.91989,0.97974,0.98462,0.994,0.79571,1.0754,0.48663,0.92903,0.000572054,0.000572054,0.000572054
51,278.207,0.97272,0.48976,0.92466,0.96763,0.98328,0.995,0.77881,1.09988,0.49632,0.93425,0.000561055,0.000561055,0.000561055
52,282.943,0.99487,0.50568,0.93079,0.96737,0.98231,0.995,0.78504,1.05711,0.45394,0.92362,0.000550056,0.000550056,0.000550056
53,287.245,0.91985,0.47218,0.90579,0.96372,0.99959,0.995,0.79749,1.073,0.46467,0.93046,0.000539057,0.000539057,0.000539057
54,292.473,0.94249,0.48903,0.90475,0.97377,0.99414,0.995,0.78513,1.10897,0.45619,0.93822,0.000528058,0.000528058,0.000528058
55,297.469,0.96062,0.46499,0.92289,0.98301,0.99539,0.995,0.80794,1.09946,0.4751,0.93907,0.000517059,0.000517059,0.000517059
56,301.721,0.9171,0.47785,0.90586,0.9661,0.98988,0.995,0.80799,1.13215,0.49548,0.94831,0.00050606,0.00050606,0.00050606
57,306.717,0.9552,0.49726,0.90851,0.98179,0.98844,0.995,0.81514,1.08143,0.48492,0.93777,0.000495062,0.000495062,0.000495062
58,312.072,0.92668,0.4796,0.89968,0.9773,0.99974,0.995,0.81139,1.05194,0.45645,0.92765,0.000484063,0.000484063,0.000484063
59,316.431,0.93278,0.47141,0.91313,0.9692,1,0.995,0.80619,1.13263,0.48467,0.95113,0.000473064,0.000473064,0.000473064
60,321.414,0.96096,0.48105,0.9038,0.96682,1,0.995,0.81874,1.08824,0.47192,0.94318,0.000462065,0.000462065,0.000462065
61,326.683,0.95493,0.46624,0.91257,0.97284,1,0.995,0.80133,1.04779,0.47818,0.93462,0.000451066,0.000451066,0.000451066
62,330.919,0.92542,0.47314,0.91004,0.96789,0.99959,0.995,0.80752,1.02164,0.4583,0.93156,0.000440067,0.000440067,0.000440067
63,335.716,0.92686,0.44762,0.92014,0.96958,0.99336,0.995,0.80298,1.04913,0.43531,0.92944,0.000429068,0.000429068,0.000429068
64,341.177,0.93078,0.4582,0.91916,0.97466,0.98826,0.995,0.81595,1.03883,0.43449,0.92548,0.000418069,0.000418069,0.000418069
65,345.399,0.9125,0.45654,0.91938,0.98229,0.97826,0.995,0.81403,1.05889,0.43343,0.93292,0.00040707,0.00040707,0.00040707
66,349.783,0.89249,0.44829,0.90214,0.97024,1,0.995,0.81017,1.1144,0.47225,0.94025,0.000396071,0.000396071,0.000396071
67,355.589,0.94292,0.45196,0.90501,0.95956,1,0.995,0.8031,1.04938,0.44671,0.92779,0.000385073,0.000385073,0.000385073
68,359.813,0.93235,0.46047,0.9014,0.95721,0.99244,0.995,0.78427,0.99344,0.43419,0.91412,0.000374074,0.000374074,0.000374074
69,364.094,0.93747,0.4643,0.89368,0.97281,0.99572,0.995,0.78767,1.02799,0.42906,0.92128,0.000363075,0.000363075,0.000363075
70,370.085,0.94277,0.46575,0.91605,0.97588,1,0.995,0.8039,1.0589,0.42332,0.93029,0.000352076,0.000352076,0.000352076
71,374.37,0.90152,0.43954,0.91472,0.97139,0.9953,0.995,0.82797,1.0619,0.42566,0.93223,0.000341077,0.000341077,0.000341077
72,378.783,0.84346,0.4202,0.88686,0.97851,0.98473,0.995,0.80723,1.06512,0.43103,0.93741,0.000330078,0.000330078,0.000330078
73,384.92,0.9519,0.45552,0.93007,0.98028,0.98604,0.995,0.81038,1.08779,0.42888,0.9408,0.000319079,0.000319079,0.000319079
74,389.176,0.91209,0.42961,0.89522,0.9835,0.98976,0.995,0.81249,1.10133,0.41826,0.94399,0.00030808,0.00030808,0.00030808
75,393.536,0.89212,0.44861,0.88961,0.98301,1,0.995,0.7992,1.05879,0.41954,0.93384,0.000297081,0.000297081,0.000297081
76,399.701,0.91673,0.45135,0.90165,0.98347,1,0.995,0.81211,1.04793,0.42065,0.92941,0.000286083,0.000286083,0.000286083
77,404,0.90315,0.42933,0.90077,0.97509,1,0.995,0.80466,1.06789,0.42348,0.93419,0.000275084,0.000275084,0.000275084
78,408.24,0.85981,0.43095,0.8771,0.97274,1,0.995,0.80275,1.08221,0.43216,0.93658,0.000264085,0.000264085,0.000264085
79,414.251,0.86831,0.43072,0.89184,0.97775,1,0.995,0.81393,1.04362,0.42753,0.92753,0.000253086,0.000253086,0.000253086
80,418.65,0.83595,0.41175,0.88586,0.98268,1,0.995,0.80992,1.03146,0.41811,0.92271,0.000242087,0.000242087,0.000242087
81,422.871,0.89769,0.44098,0.89411,0.97878,1,0.995,0.79458,1.03699,0.41911,0.92003,0.000231088,0.000231088,0.000231088
82,428.577,0.83731,0.42092,0.87936,0.97792,1,0.995,0.80268,1.04996,0.43052,0.92383,0.000220089,0.000220089,0.000220089
83,433.146,0.85754,0.42259,0.87487,0.98333,1,0.995,0.80139,1.06985,0.43603,0.92435,0.00020909,0.00020909,0.00020909
84,437.47,0.85995,0.42269,0.88502,0.99036,1,0.995,0.79081,1.0812,0.44122,0.92753,0.000198091,0.000198091,0.000198091
85,443.016,0.88997,0.4381,0.90067,0.98956,1,0.995,0.79814,1.08261,0.43928,0.93108,0.000187092,0.000187092,0.000187092
86,447.767,0.82339,0.41454,0.87158,0.98144,1,0.995,0.80286,1.0802,0.44138,0.9309,0.000176094,0.000176094,0.000176094
87,452.078,0.84635,0.42838,0.89369,0.97414,1,0.995,0.81226,1.06825,0.42706,0.92537,0.000165095,0.000165095,0.000165095
88,457.453,0.81758,0.39967,0.89273,0.97674,1,0.995,0.8089,1.04307,0.41498,0.91709,0.000154096,0.000154096,0.000154096
89,462.561,0.83207,0.41504,0.89543,0.9787,0.99901,0.995,0.82011,1.03162,0.42655,0.91311,0.000143097,0.000143097,0.000143097
90,466.901,0.86791,0.42038,0.90466,0.97723,0.99648,0.995,0.81966,1.02595,0.43814,0.91031,0.000132098,0.000132098,0.000132098
91,473.769,0.87306,0.42873,0.88953,0.97509,0.99415,0.995,0.81048,1.02828,0.43302,0.91128,0.000121099,0.000121099,0.000121099
92,478.34,0.84488,0.40067,0.92285,0.97423,0.99351,0.995,0.80901,1.00974,0.42315,0.90786,0.0001101,0.0001101,0.0001101
93,482.643,0.83603,0.39408,0.89937,0.97381,0.99394,0.995,0.81939,1.01447,0.41623,0.90938,9.91012e-05,9.91012e-05,9.91012e-05
94,487.82,0.82409,0.38233,0.89115,0.97475,0.99529,0.995,0.82438,1.01772,0.41786,0.91021,8.81023e-05,8.81023e-05,8.81023e-05
95,492.715,0.83866,0.38922,0.89858,0.97451,0.99788,0.995,0.82835,1.02504,0.42003,0.91019,7.71034e-05,7.71034e-05,7.71034e-05
96,497.195,0.81668,0.3716,0.89867,0.97375,0.99893,0.995,0.8301,1.01253,0.42297,0.90693,6.61045e-05,6.61045e-05,6.61045e-05
97,502.331,0.82137,0.38105,0.90394,0.97143,1,0.995,0.83183,1.01209,0.41655,0.90555,5.51056e-05,5.51056e-05,5.51056e-05
98,507.535,0.84228,0.38762,0.90698,0.98,1,0.995,0.83003,1.01685,0.41169,0.90617,4.41067e-05,4.41067e-05,4.41067e-05
99,511.737,0.83401,0.39053,0.88704,0.98209,1,0.995,0.83365,1.02324,0.41629,0.90866,3.31078e-05,3.31078e-05,3.31078e-05
100,516.65,0.81361,0.37251,0.90269,0.98257,1,0.995,0.83127,1.02355,0.41673,0.90934,2.21089e-05,2.21089e-05,2.21089e-05
