epoch,critic_loss,generator_loss,gradient_penalty,critic_real,critic_fake,wasserstein_distance,best_fake_score
1,-213.92370474526757,120.42584097918711,5.508347541799671,152.1515267679566,-116.85565262570194,269.00717939365853,-1000000000.0
2,-725.4598725971423,456.25672121549906,18.071457809994094,449.74724555768466,-456.42719935366983,906.1744449113545,-116.85565262570194
3,-941.4935090717516,756.8349712171052,50.296788731374235,686.7298887453582,-757.7315068295128,1444.461395574871,-116.85565262570194
4,-975.1917711759868,898.6178791246916,61.61215341342123,733.8282412980732,-857.4850603605571,1591.3133016586303,-116.85565262570194
5,-929.9867171438117,936.8683635611283,67.63656494742946,679.8427646636962,-926.5095993845086,1606.352364048205,-116.85565262570194
6,-873.3393021432977,959.6326144569798,62.835483493302995,545.4208672774465,-956.2732730263158,1501.6941403037622,-116.85565262570194
7,-775.2457124408922,949.8382586027446,69.981913872769,533.5485016873008,-941.5163487484581,1475.064850435759,-116.85565262570194
8,-755.8697199771278,1066.9433113901239,66.52999964136826,365.7517231389096,-1055.4179991069593,1421.1697222458688,-116.85565262570194
9,-776.6552938360917,990.5923319164075,54.631332881827106,328.8885783346076,-994.0800470452559,1322.9686253798636,-116.85565262570194
10,-717.3893568340101,1008.3957248085424,55.67103023403569,290.25741748809816,-983.8422472502056,1274.0996647383038,-116.85565262570194
11,-653.8804369474713,1056.9506329988178,62.74202758638482,245.9051949952778,-1035.3955282110917,1281.3007232063694,-116.85565262570194
12,-696.5360929790296,1108.4302528782894,51.707581791124845,143.3148687764218,-1070.2970433285361,1213.6119121049578,-116.85565262570194
13,-685.7129290129009,965.1236846923828,54.59510782643368,279.9216692322179,-951.7423376786081,1231.664006910826,-116.85565262570194
14,-684.7758623625102,1049.2841965524774,50.60440764929119,160.23082616705645,-1030.589110364412,1190.8199365314683,-116.85565262570194
15,-646.6668357447573,1015.6802415546618,53.78035791296708,196.0317083961085,-988.438709138569,1184.4704175346776,-116.85565262570194
16,-721.7748347232216,959.8268427798622,47.22963933944702,237.54600102274043,-956.5252306084884,1194.0712316312288,-116.85565262570194
17,-643.1534287302118,1044.470149793123,50.50374257940995,122.06759544171786,-1026.1232627467105,1148.1908581884284,-116.85565262570194
18,-610.5691093043278,1080.4758670204565,52.44796856829995,65.44407080600136,-1069.6047211496455,1135.0487919556467,-116.85565262570194
19,-633.248586313348,1143.2992707905016,44.91839516915773,-38.7713354010331,-1121.203868986431,1082.4325335853978,-116.85565262570194
20,-629.7463580482885,1167.0647444875617,48.42394826286718,-60.054880202443975,-1174.0407220137747,1113.9858418113308,-116.85565262570194
21,-625.1413293135794,1118.4871215820312,48.18072282640558,4.971338703757838,-1101.9772187885485,1106.9485574923062,-116.85565262570194
22,-607.999217786287,1124.8559904399672,42.53777833988792,-59.898224740279346,-1093.27522968493,1033.3770049446507,-116.85565262570194
